id1,id2,frechet_dist
4614081,4614079,406138.27351073094
4614083,4614079,915517.4831866348
4614088,4614079,895995.0922155911
4614096,4614079,991845.9928235742
4614098,4614079,390545.96594419435
4614079,4614081,406138.27351073094
4614083,4614081,1306529.0047626477
4614088,4614081,1289003.6541238548
4614096,4614081,1383155.8212981168
4614098,4614081,328378.5628387057
4614079,4614083,915517.4831866348
4614081,4614083,1306529.0047626477
4614088,4614083,653909.8211070764
4614096,4614083,770761.4675374974
4614098,4614083,1269416.7918009409
4614079,4614088,895995.0922155911
4614081,4614088,1289003.6541238548
4614083,4614088,653909.8211070764
4614096,4614088,649401.5122445888
4614098,4614088,1247046.4792022607
4614079,4614096,991845.9928235742
4614081,4614096,1383155.8212981168
4614083,4614096,770761.4675374974
4614088,4614096,649401.5122445888
4614098,4614096,1343841.972666271
4614079,4614098,390545.96594419435
4614081,4614098,328378.5628387057
4614083,4614098,1269416.7918009409
4614088,4614098,1247046.4792022607
4614096,4614098,1343841.972666271
