id1,id2,frechet_dist
4626032,4626016,849860.6145296749
4626033,4626016,332604.9380624046
4626038,4626016,1715594.834615902
4626056,4626016,599480.9897023904
4626058,4626016,523664.8928812932
4626016,4626032,849860.6145296749
4626033,4626032,801735.9635082013
4626038,4626032,901926.9995943344
4626056,4626032,808620.3013233482
4626058,4626032,807576.8420087924
4626016,4626033,332604.9380624046
4626032,4626033,801735.9635082013
4626038,4626033,1693649.5773737193
4626056,4626033,551895.7607638643
4626058,4626033,856171.6099696448
4626016,4626038,1715594.834615902
4626032,4626038,901926.9995943344
4626033,4626038,1693649.5773737193
4626056,4626038,1142011.2613376505
4626058,4626038,1687975.5388440567
4626016,4626056,599480.9897023904
4626032,4626056,808620.3013233482
4626033,4626056,551895.7607638643
4626038,4626056,1142011.2613376505
4626058,4626056,554164.2352404413
4626016,4626058,523664.8928812932
4626032,4626058,807576.8420087924
4626033,4626058,856171.6099696448
4626038,4626058,1687975.5388440567
4626056,4626058,554164.2352404413
