id1,id2,frechet_dist
9651011,9651010,370131.0960720822
9651012,9651010,735863.668135055
9651013,9651010,1427364.798945092
9651018,9651010,286363.5936203761
9651010,9651011,370131.0960720822
9651012,9651011,971364.8262903175
9651013,9651011,1475147.8008558913
9651018,9651011,285756.1536131539
9651010,9651012,735863.668135055
9651011,9651012,971364.8262903175
9651013,9651012,1441913.006854119
9651018,9651012,972374.2061498923
9651010,9651013,1427364.798945092
9651011,9651013,1475147.8008558913
9651012,9651013,1441913.006854119
9651018,9651013,1414932.3097408803
9651010,9651018,286363.5936203761
9651011,9651018,285756.1536131539
9651012,9651018,972374.2061498923
9651013,9651018,1414932.3097408803
