id1,id2,frechet_dist
4633039,4633037,480399.02159639006
4633041,4633037,1612629.4708830842
4633043,4633037,1527666.3738846034
4633050,4633037,1507406.6298475023
4633062,4633037,214142.62730930146
4633069,4633037,1499116.9970579061
4633095,4633037,403261.6030182601
4633037,4633039,480399.02159639006
4633041,4633039,1731114.4572252552
4633043,4633039,1654868.5239857286
4633050,4633039,1636587.7825300978
4633062,4633039,577869.630249808
4633069,4633039,1625972.7269632951
4633095,4633039,143518.50690559857
4633037,4633041,1612629.4708830842
4633039,4633041,1731114.4572252552
4633043,4633041,1500728.1797725726
4633050,4633041,1353994.3051647306
4633062,4633041,1402311.8040368345
4633069,4633041,1102067.9831341985
4633095,4633041,1595168.6552847493
4633037,4633043,1527666.3738846034
4633039,4633043,1654868.5239857286
4633041,4633043,1500728.1797725726
4633050,4633043,603054.1914255032
4633062,4633043,1316923.1085032767
4633069,4633043,1471404.1782203596
4633095,4633043,1517763.4265910217
4633037,4633050,1507406.6298475023
4633039,4633050,1636587.7825300978
4633041,4633050,1353994.3051647306
4633043,4633050,603054.1914255032
4633062,4633050,1296523.0700023435
4633069,4633050,1339380.008756783
4633095,4633050,1499284.6882844646
4633037,4633062,214142.62730930146
4633039,4633062,577869.630249808
4633041,4633062,1402311.8040368345
4633043,4633062,1316923.1085032767
4633050,4633062,1296523.0700023435
4633069,4633062,1288571.4526403076
4633095,4633062,457794.16946683865
4633037,4633069,1499116.9970579061
4633039,4633069,1625972.7269632951
4633041,4633069,1102067.9831341985
4633043,4633069,1471404.1782203596
4633050,4633069,1339380.008756783
4633062,4633069,1288571.4526403076
4633095,4633069,1488816.3511816962
4633037,4633095,403261.6030182601
4633039,4633095,143518.50690559857
4633041,4633095,1595168.6552847493
4633043,4633095,1517763.4265910217
4633050,4633095,1499284.6882844646
4633062,4633095,457794.16946683865
4633069,4633095,1488816.3511816962
