"X","Ind_ID","SensType","Sens_ID","TypeOfData","Date","LAT","LON","Precision","ground_elevation","origin","Sex","TypeOfActivity","Ind_status","Birth_date","Cohort","Death_date","ageofdeath","Station_ID","release_date","release_lat","release_lon","Country","Nb_Individuals","ProjectProd","Population"
6062949,9651011,"Satellite",4617850,"GPS","3/25/2019 22:00:00",34.10083,60.99933,26,715,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062950,9651011,"Satellite",4617850,"GPS","3/27/2019 0:00:00",34.103,60.99667,26,715,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062951,9651011,"Satellite",4617850,"GPS","3/26/2019 2:00:00",34.10467,61.00267,26,713,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062952,9651011,"Satellite",4617850,"GPS","2/17/2019 12:00:00",28.09567,61.31683,26,1369,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062954,9651011,"Satellite",4617850,"GPS","2/18/2019 0:00:00",28.09983,61.31167,26,1369,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062957,9651011,"Satellite",4617850,"GPS","8/30/2018 14:00:00",39.7595,65.39,26,329,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062958,9651011,"Satellite",4617850,"GPS","7/9/2019 14:00:00",40.481,64.79367,26,272,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062959,9651011,"Satellite",4617850,"GPS","4/9/2019 0:00:00",34.7685,60.99317,26,718,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062960,9651011,"Satellite",4617850,"GPS","2/17/2019 14:00:00",28.0905,61.32333,26,1374,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062961,9651011,"Satellite",4617850,"GPS","2/17/2019 2:00:00",28.09417,61.31267,26,1369,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
