"X","Ind_ID","SensType","Sens_ID","TypeOfData","Date","LAT","LON","Precision","ground_elevation","origin","Sex","TypeOfActivity","Ind_status","Birth_date","Cohort","Death_date","ageofdeath","Station_ID","release_date","release_lat","release_lon","Country","Nb_Individuals","ProjectProd","Population"
6056467,9651010,"Satellite",16211,"GPS","10/28/2018 0:00:00",36.85483,64.12317,26,532,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056470,9651010,"Satellite",16211,"GPS","11/13/2019 14:00:00",31.64017,63.733,26,815,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056472,9651010,"Satellite",16211,"GPS","6/27/2018 12:00:00",39.62183,65.40117,26,296,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056474,9651010,"Satellite",16211,"GPS","12/30/2018 6:00:00",30.54533,65.127,26,1140,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056476,9651010,"Satellite",16211,"GPS","12/5/2019 22:00:00",31.108,64.68433,26,1114,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056478,9651010,"Satellite",16211,"GPS","12/30/2018 4:00:00",30.54583,65.12567,26,1140,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056482,9651010,"Satellite",16211,"GPS","3/15/2019 10:00:00",30.528,64.95383,26,1061,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056483,9651010,"Satellite",16211,"GPS","12/29/2018 14:00:00",30.54617,65.12583,26,1140,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056485,9651010,"Satellite",16211,"GPS","12/29/2018 16:00:00",30.54617,65.126,26,1140,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056487,9651010,"Satellite",16211,"GPS","3/15/2019 8:00:00",30.53117,64.95367,26,1061,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
