"X","Ind_ID","SensType","Sens_ID","TypeOfData","Date","LAT","LON","Precision","ground_elevation","origin","Sex","TypeOfActivity","Ind_status","Birth_date","Cohort","Death_date","ageofdeath","Station_ID","release_date","release_lat","release_lon","Country","Nb_Individuals","ProjectProd","Population"
6073318,9651013,"Satellite",4613439,"GPS","9/15/2018 18:00:00",39.63117,65.4585,26,311,"wild","unknown","Capture","unknown",NA,2018,NA,NA,58619026,"25/05/2018 13:58:00",39.64705,65.40219,"Uzbekistan",NA,NA,NA
6073319,9651013,"Satellite",4613439,"GPS","6/21/2018 18:00:00",39.62617,65.47117,26,312,"wild","unknown","Capture","unknown",NA,2018,NA,NA,58619026,"25/05/2018 13:58:00",39.64705,65.40219,"Uzbekistan",NA,NA,NA
6073320,9651013,"Satellite",4613439,"GPS","11/12/2018 18:00:00",28.126,58.25283,26,668,"wild","unknown","Capture","unknown",NA,2018,NA,NA,58619026,"25/05/2018 13:58:00",39.64705,65.40219,"Uzbekistan",NA,NA,NA
6073322,9651013,"Satellite",4613439,"GPS","11/30/2018 8:00:00",28.14733,58.2615,26,693,"wild","unknown","Capture","unknown",NA,2018,NA,NA,58619026,"25/05/2018 13:58:00",39.64705,65.40219,"Uzbekistan",NA,NA,NA
6073323,9651013,"Satellite",4613439,"GPS","12/1/2018 18:00:00",28.14583,58.25867,26,693,"wild","unknown","Capture","unknown",NA,2018,NA,NA,58619026,"25/05/2018 13:58:00",39.64705,65.40219,"Uzbekistan",NA,NA,NA
6073326,9651013,"Satellite",4613439,"GPS","11/12/2018 16:00:00",28.126,58.25283,26,668,"wild","unknown","Capture","unknown",NA,2018,NA,NA,58619026,"25/05/2018 13:58:00",39.64705,65.40219,"Uzbekistan",NA,NA,NA
6073327,9651013,"Satellite",4613439,"GPS","9/14/2018 8:00:00",39.6185,65.45933,26,312,"wild","unknown","Capture","unknown",NA,2018,NA,NA,58619026,"25/05/2018 13:58:00",39.64705,65.40219,"Uzbekistan",NA,NA,NA
6073328,9651013,"Satellite",4613439,"GPS","11/12/2018 12:00:00",28.12767,58.252,26,668,"wild","unknown","Capture","unknown",NA,2018,NA,NA,58619026,"25/05/2018 13:58:00",39.64705,65.40219,"Uzbekistan",NA,NA,NA
6073329,9651013,"Satellite",4613439,"GPS","8/5/2018 14:00:00",39.62667,65.45933,26,311,"wild","unknown","Capture","unknown",NA,2018,NA,NA,58619026,"25/05/2018 13:58:00",39.64705,65.40219,"Uzbekistan",NA,NA,NA
6073330,9651013,"Satellite",4613439,"GPS","6/21/2018 2:00:00",39.62783,65.46717,26,312,"wild","unknown","Capture","unknown",NA,2018,NA,NA,58619026,"25/05/2018 13:58:00",39.64705,65.40219,"Uzbekistan",NA,NA,NA
6073331,9651013,"Satellite",4613439,"GPS","6/22/2018 2:00:00",39.626,65.46783,26,312,"wild","unknown","Capture","unknown",NA,2018,NA,NA,58619026,"25/05/2018 13:58:00",39.64705,65.40219,"Uzbekistan",NA,NA,NA
6073332,9651013,"Satellite",4613439,"GPS","12/21/2018 4:00:00",28.134,58.23633,26,662,"wild","unknown","Capture","unknown",NA,2018,NA,NA,58619026,"25/05/2018 13:58:00",39.64705,65.40219,"Uzbekistan",NA,NA,NA
6073334,9651013,"Satellite",4613439,"GPS","12/1/2018 8:00:00",28.146,58.26,26,693,"wild","unknown","Capture","unknown",NA,2018,NA,NA,58619026,"25/05/2018 13:58:00",39.64705,65.40219,"Uzbekistan",NA,NA,NA
