"X","Ind_ID","SensType","Sens_ID","TypeOfData","Date","LAT","LON","Precision","ground_elevation","origin","Sex","TypeOfActivity","Ind_status","Birth_date","Cohort","Death_date","ageofdeath","Station_ID","release_date","release_lat","release_lon","Country","Nb_Individuals","ProjectProd","Population"
6067074,9651012,"Satellite",4637296,"GPS","9/26/2018 10:00:00",39.7565,65.37333,26,319,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067075,9651012,"Satellite",4637296,"GPS","9/27/2018 8:00:00",39.7625,65.37633,26,322,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067076,9651012,"Satellite",4637296,"GPS","9/27/2018 10:00:00",39.76233,65.376,26,322,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067077,9651012,"Satellite",4637296,"GPS","9/27/2018 2:00:00",39.75717,65.386,26,325,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067078,9651012,"Satellite",4637296,"GPS","12/5/2019 12:00:00",38.12317,64.08683,26,218,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067081,9651012,"Satellite",4637296,"GPS","12/5/2019 0:00:00",38.1275,64.0895,26,217,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067082,9651012,"Satellite",4637296,"GPS","12/4/2019 20:00:00",38.126,64.0905,26,217,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067083,9651012,"Satellite",4637296,"GPS","9/30/2018 2:00:00",39.66267,65.36183,26,286,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067085,9651012,"Satellite",4637296,"GPS","6/25/2019 6:00:00",39.70467,65.22567,26,272,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067086,9651012,"Satellite",4637296,"GPS","5/9/2019 8:00:00",40.0135,65.28533,26,483,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
