id1,id2,frechet_dist
4627038,4626974,329787.51785798895
4627102,4626974,122207.17015337708
4627103,4626974,189446.39114273203
4627167,4626974,54327.07641012672
4627168,4626974,328917.10940513876
4627233,4626974,257675.7121085557
4627297,4626974,193481.0828746401
4627298,4626974,335074.64506277867
4627362,4626974,242925.49187653896
4627363,4626974,231458.60138286566
4627427,4626974,380305.73254486534
4627428,4626974,283764.993375339
4627429,4626974,2547192.8029740183
4627430,4626974,572546.3004192163
4627433,4626974,291448.21380177344
4627435,4626974,267218.9331134975
4627440,4626974,247274.13094071837
4627441,4626974,276271.4425666987
4627442,4626974,249264.52106667275
4627445,4626974,284418.41030011117
4627446,4626974,265418.1730033007
4627447,4626974,294078.1138976454
4627451,4626974,351560.7296460338
4627455,4626974,250943.13330751515
4627457,4626974,253261.86781018434
4627458,4626974,283487.75759574183
4627459,4626974,245888.3960107385
4627460,4626974,247721.56871645624
4627465,4626974,245717.0513234388
4627466,4626974,572038.1976261159
4627514,4626974,285670.08427030325
4627523,4626974,372346.78860287956
4627524,4626974,543172.4474167054
4627525,4626974,314007.8104600906
4627526,4626974,264337.22341796744
4627527,4626974,276826.717706168
4627528,4626974,482353.46965363296
4627535,4626974,323799.18573903636
4627537,4626974,285396.1060433118
4627538,4626974,365510.75725582597
4627545,4626974,286282.78139854915
4627546,4626974,299395.0210960468
4627547,4626974,373583.51012809866
4627548,4626974,462509.5418984391
4627549,4626974,512962.03649183514
4627550,4626974,429257.4637867454
4627557,4626974,297353.7291057257
4627562,4626974,574581.8500656422
4628627,4626974,277076.4410977159
4628693,4626974,278427.74537248566
4628694,4626974,377446.8980383821
4628695,4626974,205636.3246356037
4628701,4626974,274545.6069952449
4628747,4626974,191492.36002758768
4628748,4626974,372968.40033606894
4628749,4626974,427174.4000580543
4628831,4626974,279194.6504687409
4628836,4626974,157965.39573178397
4628856,4626974,359436.2257717923
4628876,4626974,283421.0234197125
4628882,4626974,243789.33871000467
4628888,4626974,271828.6041560643
4628889,4626974,262127.06191665912
4628890,4626974,262271.30982087046
4628891,4626974,281019.6055024651
4628892,4626974,251758.67891154703
4629013,4626974,295230.4379679389
4629014,4626974,267580.01528571587
4629015,4626974,511091.96557851543
4629017,4626974,214577.1088391171
4629021,4626974,268081.1487079131
4629022,4626974,282527.24686717143
4629068,4626974,226213.3899612237
4626974,4627038,329787.51785798895
4627102,4627038,442804.0642394296
4627103,4627038,518950.0103522043
4627167,4627038,338904.17937950126
4627168,4627038,13113.680589314556
4627233,4627038,583926.0754046537
4627297,4627038,230052.2006272453
4627298,4627038,6405.224595118126
4627362,4627038,429865.68885805045
4627363,4627038,271480.032106264
4627427,4627038,424524.51771973283
4627428,4627038,256001.20826797432
4627429,4627038,2610476.9627725207
4627430,4627038,254801.55175435712
4627433,4627038,279398.07991688914
