id1,id2,frechet_dist
4619144,4619077,316174.2285001001
4619151,4619077,517011.1554636323
4619152,4619077,241882.51478201154
4619154,4619077,182640.73249674734
4619165,4619077,31875.88505749102
4619166,4619077,36899.260587158824
4619175,4619077,41831.26046426114
4619228,4619077,468383.3753738592
4619229,4619077,354784.5720831258
4619263,4619077,467960.4950348638
4619269,4619077,128937.73101543222
4619317,4619077,35242.85789055775
4619327,4619077,171576.5071529761
4619077,4619144,316174.2285001001
4619151,4619144,282511.13152021694
4619152,4619144,252855.4547714721
4619154,4619144,327905.04936296545
4619165,4619144,289589.9168592166
4619166,4619144,293028.9710637413
4619175,4619144,280168.6991336387
4619228,4619144,182002.69220956205
4619229,4619144,430914.2900425353
4619263,4619144,215369.2798739895
4619269,4619144,285454.39654564817
4619317,4619144,295938.4589241989
4619327,4619144,294516.8704965691
4619077,4619151,517011.1554636323
4619144,4619151,282511.13152021694
4619152,4619151,343557.30190162995
4619154,4619151,406671.11680806684
4619165,4619151,518316.2295796658
4619166,4619151,495097.238141562
4619175,4619151,523164.64443914243
4619228,4619151,445141.02216447244
4619229,4619151,364969.95276503667
4619263,4619151,440461.99848222564
4619269,4619151,505415.7054623371
4619317,4619151,497103.2473013362
4619327,4619151,351029.8749198076
4619077,4619152,241882.51478201154
4619144,4619152,252855.4547714721
4619151,4619152,343557.30190162995
4619154,4619152,241847.94689518612
4619165,4619152,241345.53924525445
4619166,4619152,221187.8929430887
4619175,4619152,247714.22630774276
4619228,4619152,410019.2650384433
4619229,4619152,487368.76311695547
4619263,4619152,387822.9198828899
4619269,4619152,172826.87220999072
4619317,4619152,222310.44043585562
4619327,4619152,220385.87123130282
4619077,4619154,182640.73249674734
4619144,4619154,327905.04936296545
4619151,4619154,406671.11680806684
4619152,4619154,241847.94689518612
4619165,4619154,182112.70666226585
4619166,4619154,163315.2607438808
4619175,4619154,188476.9000892659
4619228,4619154,492461.90549448854
4619229,4619154,392139.7936558659
4619263,4619154,495143.84691013757
4619269,4619154,114171.6966022947
4619317,4619154,157765.44543073775
4619327,4619154,104274.98322241732
4619077,4619165,31875.88505749102
4619144,4619165,289589.9168592166
4619151,4619165,518316.2295796658
4619152,4619165,241345.53924525445
4619154,4619165,182112.70666226585
4619166,4619165,23525.37421579305
4619175,4619165,15017.867790669574
4619228,4619165,451103.8089227004
4619229,4619165,365763.1727318144
4619263,4619165,450261.8586902628
4619269,4619165,121143.0593246865
4619317,4619165,25025.01082505752
4619327,4619165,172350.6120152791
4619077,4619166,36899.260587158824
4619144,4619166,293028.9710637413
4619151,4619166,495097.238141562
4619152,4619166,221187.8929430887
4619154,4619166,163315.2607438808
4619165,4619166,23525.37421579305
4619175,4619166,29142.92650223071
4619228,4619166,449057.3625063082
4619229,4619166,363533.83695084974
4619263,4619166,450606.3206369944
4619269,4619166,122264.16998383764
4619317,4619166,23680.41337552713
4619327,4619166,148848.3924507596
4619077,4619175,41831.26046426114
4619144,4619175,280168.6991336387
4619151,4619175,523164.64443914243
4619152,4619175,247714.22630774276
4619154,4619175,188476.9000892659
4619165,4619175,15017.867790669574
4619166,4619175,29142.92650223071
4619228,4619175,452810.89058159676
4619229,4619175,362855.1449842639
4619263,4619175,452246.4121918751
4619269,4619175,121585.26986408175
4619317,4619175,31329.609489900555
4619327,4619175,177936.23301229495
4619077,4619228,468383.3753738592
4619144,4619228,182002.69220956205
4619151,4619228,445141.02216447244
4619152,4619228,410019.2650384433
4619154,4619228,492461.90549448854
4619165,4619228,451103.8089227004
4619166,4619228,449057.3625063082
4619175,4619228,452810.89058159676
4619229,4619228,587394.8257045693
4619263,4619228,239028.92193460872
4619269,4619228,424219.4666542793
4619317,4619228,452486.43602335826
4619327,4619228,450617.62299938983
