id1,id2,frechet_dist
4634736,4634734,672560.0179049362
4634747,4634734,658813.491361687
4634759,4634734,645130.2312082376
4634917,4634734,660110.6146056141
4635010,4634734,552837.3186749412
4635649,4634734,423513.0916104737
4635685,4634734,432862.02855419053
4635688,4634734,727084.718348957
4634734,4634736,672560.0179049362
4634747,4634736,166162.61636633254
4634759,4634736,536926.4237977854
4634917,4634736,32390.885884021493
4635010,4634736,142488.260681357
4635649,4634736,249597.7070316084
4635685,4634736,303993.74684617744
4635688,4634736,94249.07029503606
4634734,4634747,658813.491361687
4634736,4634747,166162.61636633254
4634759,4634747,579402.7982253629
4634917,4634747,137473.86946395852
4635010,4634747,235592.93759629852
4635649,4634747,345756.9586410109
4635685,4634747,412565.4353053002
4635688,4634747,233510.51988028904
4634734,4634759,645130.2312082376
4634736,4634759,536926.4237977854
4634747,4634759,579402.7982253629
4634917,4634759,518223.5431941829
4635010,4634759,412230.0238324677
4635649,4634759,293081.9334682002
4635685,4634759,236466.33394509743
4635688,4634759,579007.6905025423
4634734,4634917,660110.6146056141
4634736,4634917,32390.885884021493
4634747,4634917,137473.86946395852
4634759,4634917,518223.5431941829
4635010,4634917,130789.43759558942
4635649,4634917,242674.91418646002
4635685,4634917,303281.81037620956
4635688,4634917,123200.2263633001
4634734,4635010,552837.3186749412
4634736,4635010,142488.260681357
4634747,4635010,235592.93759629852
4634759,4635010,412230.0238324677
4634917,4635010,130789.43759558942
4635649,4635010,132739.94545622502
4635685,4635010,190073.56248723052
4635688,4635010,212198.10666322458
4634734,4635649,423513.0916104737
4634736,4635649,249597.7070316084
4634747,4635649,345756.9586410109
4634759,4635649,293081.9334682002
4634917,4635649,242674.91418646002
4635010,4635649,132739.94545622502
4635685,4635649,73084.84874826392
4635688,4635649,311312.05127997935
4634734,4635685,432862.02855419053
4634736,4635685,303993.74684617744
4634747,4635685,412565.4353053002
4634759,4635685,236466.33394509743
4634917,4635685,303281.81037620956
4635010,4635685,190073.56248723052
4635649,4635685,73084.84874826392
4635688,4635685,353019.6495100923
4634734,4635688,727084.718348957
4634736,4635688,94249.07029503606
4634747,4635688,233510.51988028904
4634759,4635688,579007.6905025423
4634917,4635688,123200.2263633001
4635010,4635688,212198.10666322458
4635649,4635688,311312.05127997935
4635685,4635688,353019.6495100923
