id1,id2,frechet_dist
628,627,477299.5039900369
629,627,141599.76211280702
630,627,502186.9874527488
631,627,107408.903730665
632,627,471819.29042894545
633,627,309570.98526426405
627,628,477299.5039900369
629,628,569238.6726640419
630,628,169722.14653464383
631,628,486947.15239652764
632,628,316399.66316211043
633,628,475095.8671603718
627,629,141599.76211280702
628,629,569238.6726640419
630,629,596438.4109640445
631,629,135110.9057862867
632,629,572373.4587473223
633,629,345478.52648959745
627,630,502186.9874527488
628,630,169722.14653464383
629,630,596438.4109640445
631,630,513933.9103749528
632,630,200254.41649011362
633,630,476600.38362371456
627,631,107408.903730665
628,631,486947.15239652764
629,631,135110.9057862867
630,631,513933.9103749528
632,631,494968.46907038015
633,631,284044.45954281464
627,632,471819.29042894545
628,632,316399.66316211043
629,632,572373.4587473223
630,632,200254.41649011362
631,632,494968.46907038015
633,632,478308.17614577385
627,633,309570.98526426405
628,633,475095.8671603718
629,633,345478.52648959745
630,633,476600.38362371456
631,633,284044.45954281464
632,633,478308.17614577385
