Date,LAT,LONG
5/22/2018 14:00:00,39.59783,65.362
5/22/2018 15:00:00,39.60117,65.36567
5/22/2018 16:00:00,39.60483,65.36667
5/22/2018 19:00:00,39.605,65.36667
5/22/2018 20:00:00,39.605,65.36667
5/22/2018 22:00:00,39.605,65.36667
5/23/2018 0:00:00,39.60717,65.37966999999999
5/23/2018 2:00:00,39.59917,65.38683
5/23/2018 4:00:00,39.606,65.385
5/23/2018 6:00:00,39.60267,65.38217
5/23/2018 8:00:00,39.601,65.3815
5/23/2018 10:00:00,39.601,65.38167
5/23/2018 12:00:00,39.60033,65.38283
5/23/2018 14:00:00,39.60833,65.3735
5/23/2018 16:00:00,39.60933,65.37083
5/23/2018 18:00:00,39.60933,65.37083
5/23/2018 20:00:00,39.60933,65.37083
5/23/2018 22:00:00,39.60933,65.37083
5/24/2018 0:00:00,39.60283,65.37583000000001
5/24/2018 2:00:00,39.60217,65.3685
5/24/2018 4:00:00,39.602,65.36567
5/24/2018 6:00:00,39.59967,65.36583
5/24/2018 8:00:00,39.59967,65.36583
5/24/2018 10:00:00,39.59967,65.36583
5/24/2018 12:00:00,39.5995,65.3675
5/24/2018 14:00:00,39.6085,65.36717
5/24/2018 16:00:00,39.62717,65.37366999999999
5/25/2018 0:00:00,39.631,65.3775
5/25/2018 2:00:00,39.619,65.36766999999999
5/25/2018 4:00:00,39.61667,65.3725
5/25/2018 6:00:00,39.60967,65.3735
5/25/2018 8:00:00,39.60967,65.3735
5/25/2018 10:00:00,39.60967,65.37317
5/25/2018 12:00:00,39.60967,65.37333000000001
5/25/2018 14:00:00,39.60317,65.37066999999999
5/25/2018 16:00:00,39.60617,65.38266999999999
5/25/2018 18:00:00,39.60533,65.38217
5/25/2018 20:00:00,39.60767,65.38083
5/25/2018 22:00:00,39.60583,65.37867
5/26/2018 0:00:00,39.6,65.37517
5/26/2018 2:00:00,39.58883,65.36017
5/26/2018 4:00:00,39.586999999999996,65.36067
5/26/2018 6:00:00,39.59033,65.35916999999999
5/26/2018 8:00:00,39.5915,65.359
5/26/2018 10:00:00,39.5915,65.359
5/26/2018 12:00:00,39.5915,65.359
5/26/2018 14:00:00,39.601,65.36583
5/26/2018 16:00:00,39.61033,65.3695
5/26/2018 18:00:00,39.61033,65.3695
5/26/2018 20:00:00,39.61033,65.3695
5/26/2018 22:00:00,39.6095,65.37017
5/27/2018 2:00:00,39.60917,65.37017
5/27/2018 4:00:00,39.59783,65.36067
5/27/2018 6:00:00,39.59667,65.36083
5/27/2018 8:00:00,39.5965,65.36433000000001
5/27/2018 10:00:00,39.5965,65.36433000000001
5/27/2018 12:00:00,39.59883,65.365
5/27/2018 14:00:00,39.608000000000004,65.36
5/27/2018 16:00:00,39.61867,65.38016999999999
5/27/2018 18:00:00,39.61833,65.3815
