Date,LAT,LONG
6/11/2018 14:00:00,39.616170000000004,65.4425
6/11/2018 16:00:00,39.60517,65.434
6/11/2018 18:00:00,39.6055,65.432
6/11/2018 20:00:00,39.6055,65.432
6/11/2018 22:00:00,39.6055,65.432
6/12/2018 0:00:00,39.605,65.43
6/12/2018 2:00:00,39.60683,65.46616999999999
6/12/2018 4:00:00,39.59283,65.45633000000001
6/12/2018 6:00:00,39.58833,65.45666999999999
6/12/2018 8:00:00,39.58833,65.45683000000001
6/12/2018 10:00:00,39.58833,65.45683000000001
6/12/2018 12:00:00,39.586999999999996,65.45867
6/12/2018 14:00:00,39.57983,65.453
6/12/2018 16:00:00,39.57083,65.44833
6/12/2018 18:00:00,39.57233,65.44767
6/12/2018 20:00:00,39.57233,65.44767
6/12/2018 22:00:00,39.57233,65.44767
6/13/2018 0:00:00,39.58833,65.46083
6/13/2018 2:00:00,39.58183,65.45633000000001
6/13/2018 4:00:00,39.586999999999996,65.45666999999999
6/13/2018 6:00:00,39.58683,65.4565
6/13/2018 8:00:00,39.58683,65.4565
6/13/2018 10:00:00,39.58683,65.45817
6/13/2018 12:00:00,39.58633,65.45966999999999
6/13/2018 14:00:00,39.5875,65.4545
6/13/2018 16:00:00,39.59033,65.45383000000001
6/13/2018 18:00:00,39.59033,65.45383000000001
6/13/2018 20:00:00,39.59033,65.45383000000001
6/13/2018 22:00:00,39.59033,65.45383000000001
6/14/2018 0:00:00,39.58733,65.44767
6/14/2018 2:00:00,39.59433,65.46266999999999
6/14/2018 4:00:00,39.58883,65.45517
6/14/2018 6:00:00,39.58733,65.46183
6/14/2018 8:00:00,39.58867,65.4635
6/14/2018 10:00:00,39.589,65.46283000000001
6/14/2018 12:00:00,39.57667,65.45517
6/14/2018 14:00:00,39.574329999999996,65.44833
6/14/2018 16:00:00,39.6005,65.418
6/14/2018 18:00:00,39.60733,65.42083000000001
6/14/2018 20:00:00,39.607,65.42283
6/14/2018 22:00:00,39.607,65.42283
6/15/2018 0:00:00,39.607,65.42733
6/15/2018 2:00:00,39.61483,65.4125
6/15/2018 4:00:00,39.61,65.41
6/15/2018 6:00:00,39.61067,65.40983
6/15/2018 8:00:00,39.59967,65.42033
6/15/2018 10:00:00,39.59467,65.42383000000001
6/15/2018 12:00:00,39.59617,65.42217
6/15/2018 14:00:00,39.6035,65.41367
6/15/2018 16:00:00,39.610170000000004,65.39033
6/16/2018 0:00:00,39.60633,65.3955
6/17/2018 6:00:00,39.58683,65.464
6/17/2018 8:00:00,39.5875,65.46233000000001
6/17/2018 10:00:00,39.58667,65.45817
6/17/2018 12:00:00,39.58517,65.457
6/17/2018 14:00:00,39.5825,65.45767
6/17/2018 16:00:00,39.573,65.45333000000001
6/17/2018 18:00:00,39.57383,65.44917
6/17/2018 20:00:00,39.57383,65.44917
6/17/2018 22:00:00,39.57383,65.44917
6/18/2018 0:00:00,39.588,65.45617
